Model,Type,Config,Folder,Avg_R1_TTFT,Avg_R2_TTFT,Speedup,Success_Rate,Total_Requests,Successful_Requests
gpt-oss-120b,Disaggregated,1P1D,1p1d_gpt-oss-120b,4.317345531400966,2.4047820545339254,1.7953167619748052,90.65209197135319,2653,2405
llama-3.3-70b,Disaggregated,1P1D,1p1d_llama-3.3-70b,6.48020859375,3.6307091796875,1.7848327346085482,100.0,3072,3072
gpt-oss-120b,Disaggregated,1P2D,1p2d_gpt-oss-120b,1.707743359375,0.69277255859375,2.4650851685602646,100.0,3072,3072
llama-3.3-70b,Disaggregated,1P2D,1p2d_llama-3.3-70b,5.80744208984375,2.105778955078125,2.757859307045973,100.0,3072,3072
gpt-oss-120b,Disaggregated,1P4D,1p4d_gpt-oss-120b,5.56535986328125,2.692268017578125,2.067164125913312,100.0,3072,3072
llama-3.3-70b,Disaggregated,1P4D,1p4d_llama-3.3-70b,5.0928904296875,0.7098076171875,7.17502927042016,100.0,3072,3072
gpt-oss-120b,Disaggregated,2P1D,2p1d_gpt-oss-120b,4.6578970703125,0.5369623046875,8.674532699317306,100.0,3072,3072
llama-3.3-70b,Disaggregated,2P1D,2p1d_llama-3.3-70b,6.5483544921875,3.954379296875,1.6559753125762173,100.0,3072,3072
gpt-oss-120b,Disaggregated,2P2D,2p2d_gpt-oss-120b,5.2750572265625,0.5749697117733268,9.174495836125212,99.96744791666666,3072,3071
llama-3.3-70b,Disaggregated,2P2D,2p2d_llama-3.3-70b,5.46707177734375,1.50412060546875,3.6347296602854335,100.0,3072,3072
gpt-oss-120b,Disaggregated,2P4D,2p4d_gpt-oss-120b,5.54334072265625,0.61716357421875,8.981963541308168,100.0,3072,3072
llama-3.3-70b,Disaggregated,2P4D,2p4d_llama-3.3-70b,5.1172248046875,0.704280712890625,7.26588803445226,100.0,3072,3072
gpt-oss-120b,Disaggregated,4P1D,4p1d_gpt-oss-120b,2.0649134765625,0.7649314453125,2.6994752133884545,100.0,3072,3072
llama-3.3-70b,Disaggregated,4P1D,4p1d_llama-3.3-70b,6.38915986328125,3.759137353515625,1.6996345869900105,100.0,3072,3072
gpt-oss-120b,Disaggregated,4P2D,4p2d_gpt-oss-120b,3.88953466796875,0.58839296875,6.6104370285589855,100.0,3072,3072
llama-3.3-70b,Disaggregated,4P2D,4p2d_llama-3.3-70b,5.60764208984375,2.16264140625,2.5929597360143717,100.0,3072,3072
gpt-oss-120b,Disaggregated,4P4D,4p4d_gpt-oss-120b,4.38150087890625,0.5904685239491692,7.420380090037508,99.93489583333334,3072,3070
llama-3.3-70b,Disaggregated,4P4D,4p4d_llama-3.3-70b,5.28424287109375,0.688862646484375,7.6709673518545305,100.0,3072,3072
gpt-oss-120b,Baseline,TP1,tp1_gpt-oss-120b,4.637633984375,0.915558935546875,5.065358224705527,100.0,3072,3072
llama-3.3-70b,Baseline,TP1,tp1_llama-3.3-70b,7.1829423828125,4.141892822265625,1.7342173472473905,100.0,3072,3072
gpt-oss-120b,Baseline,TP2,tp2_gpt-oss-120b,4.098546484375,0.509997509765625,8.036404895895537,100.0,3072,3072
llama-3.3-70b,Baseline,TP2,tp2_llama-3.3-70b,6.47127998046875,2.72966640625,2.3707219188585604,100.0,3072,3072
gpt-oss-120b,Baseline,TP4,tp4_gpt-oss-120b,7.0651189453125,1.462278857421875,4.831581137519091,100.0,3072,3072
llama-3.3-70b,Baseline,TP4,tp4_llama-3.3-70b,5.4745923828125,0.672295263671875,8.143136920096564,100.0,3072,3072
gpt-oss-120b,Baseline,TP8,tp8_gpt-oss-120b,4.70187744140625,2.694900537109375,1.7447313459848928,100.0,3072,3072
llama-3.3-70b,Baseline,TP8,tp8_llama-3.3-70b,5.1721759765625,2.348581884765625,2.2022549054442075,100.0,3072,3072
