Model,Type,Config,Folder,Prefill_Total_TPS,Decode_Total_TPS,Success_Rate,Total_Requests,Successful_Requests
gpt-oss-120b,Disaggregated,1P1D,1p1d_gpt-oss-120b,2057.36,710.0500000000001,96.0701754385965,2850,2738
llama-3.3-70b,Disaggregated,1P1D,1p1d_llama-3.3-70b,1210.77,1237.775,100.0,3072,3072
gpt-oss-120b,Disaggregated,1P2D,1p2d_gpt-oss-120b,5400.89,5077.68,100.0,3072,3072
llama-3.3-70b,Disaggregated,1P2D,1p2d_llama-3.3-70b,1874.46,1932.625,100.0,3072,3072
gpt-oss-120b,Disaggregated,1P4D,1p4d_gpt-oss-120b,5761.85,7682.72,100.0,3072,3072
llama-3.3-70b,Disaggregated,1P4D,1p4d_llama-3.3-70b,3814.49,7296.295,100.0,3072,3072
gpt-oss-120b,Disaggregated,2P1D,2p1d_gpt-oss-120b,19173.52,6794.91,100.0,3072,3072
llama-3.3-70b,Disaggregated,2P1D,2p1d_llama-3.3-70b,1124.24,1173.26,100.0,3072,3072
gpt-oss-120b,Disaggregated,2P2D,2p2d_gpt-oss-120b,1063.72,451.69500000000005,100.0,3072,3072
llama-3.3-70b,Disaggregated,2P2D,2p2d_llama-3.3-70b,2273.99,2413.21,100.0,3072,3072
gpt-oss-120b,Disaggregated,2P4D,2p4d_gpt-oss-120b,4064.78,3557.14,100.0,3072,3072
llama-3.3-70b,Disaggregated,2P4D,2p4d_llama-3.3-70b,3906.7400000000002,7973.25,100.0,3072,3072
gpt-oss-120b,Disaggregated,4P1D,4p1d_gpt-oss-120b,17869.73,5392.860000000001,100.0,3072,3072
llama-3.3-70b,Disaggregated,4P1D,4p1d_llama-3.3-70b,1149.78,1178.945,100.0,3072,3072
gpt-oss-120b,Disaggregated,4P2D,4p2d_gpt-oss-120b,3784.43,5876.295,100.0,3072,3072
llama-3.3-70b,Disaggregated,4P2D,4p2d_llama-3.3-70b,1886.36,1944.1999999999998,100.0,3072,3072
gpt-oss-120b,Disaggregated,4P4D,4p4d_gpt-oss-120b,3180.67,583.585,99.96744791666666,3072,3071
llama-3.3-70b,Disaggregated,4P4D,4p4d_llama-3.3-70b,3609.95,9559.8,100.0,3072,3072
gpt-oss-120b,Baseline,TP1,tp1_gpt-oss-120b,5042.96,4571.344999999999,100.0,3072,3072
llama-3.3-70b,Baseline,TP1,tp1_llama-3.3-70b,1111.2,1185.25,100.0,3072,3072
gpt-oss-120b,Baseline,TP2,tp2_gpt-oss-120b,5817.21,6031.885,100.0,3072,3072
llama-3.3-70b,Baseline,TP2,tp2_llama-3.3-70b,1831.27,1935.8,100.0,3072,3072
gpt-oss-120b,Baseline,TP4,tp4_gpt-oss-120b,3951.6,4103.0650000000005,100.0,3072,3072
llama-3.3-70b,Baseline,TP4,tp4_llama-3.3-70b,3483.96,8801.09,100.0,3072,3072
gpt-oss-120b,Baseline,TP8,tp8_gpt-oss-120b,2498.24,10392.779999999999,100.0,3072,3072
llama-3.3-70b,Baseline,TP8,tp8_llama-3.3-70b,3592.5,7089.655000000001,100.0,3072,3072
